comment,class
  TODO not implemented,IMPLEMENTATION
  TODO Mark diagram project as dirty?,IMPLEMENTATION
"  additional cleanup needed, because  this would not be removed by ext destroy  ",IMPLEMENTATION
  TODO consider inherited attributes?,IMPLEMENTATION
  Don't know what to do otherwise,IMPLEMENTATION
"     A specialist Selection class for FigPartitions    This ensures that all swimlanes are the same length ie height     TODO Make sure that all swimlanes appear side by side UML spec    states ""separated from neighboring swimlanes by vertical solid    lines on both sides""    TODO Allow drag of the west and east edge to resize both the selected    Fig and the fig connected to that side    TODO Show NorthWest and SouthWest handle only on leftmost swimlane    TODO Show NorthEast and SouthEast handle only on rightmost swimlane    @author Bob    ",IMPLEMENTATION
   The Activity diagram p   TODO Finish the work on subactivity states  ,IMPLEMENTATION
  This may not actually make any difference at present the code  behind addTrigger needs more work ,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  TODO Do we have anything to add here?,IMPLEMENTATION
  TODO We may return the following when the      relocate  has been implemented  ,IMPLEMENTATION
  TODO Before adding a new region make the last region  its minimum size smallest size that will still  contain all enclosed ,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO Do we really need to be listening for both of these events?,IMPLEMENTATION
"  TODO This comparison is very suspect, it should use equals  method The code within the block is in fact never executed   I hesitate to change this now as it will trigger code has never been  used before and am not aware of any problems that it usage may  introduce   I do think that we need to be able to find a different way to  implement the intent here which seems to be to correct edge drawings  that should actually not be allowed  Bob",IMPLEMENTATION
  TODO After removing a region reset the overall  size of the node ,IMPLEMENTATION
"  Associations not supported, yet  TODO Create appropriate ClassdiagramEdge",IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO Make another pass to deal with overlaps?,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
"  TODO We may return something useful when the      relocate  has been implemented, like      all StateMachines that are not ActivityGraphs  ",IMPLEMENTATION
   Stylepanel which adds a checkbox to show or hide the stereotype p  TODO i18n   @author mvw@tigris org  ,IMPLEMENTATION
"  TODO To enable models and subsystems, change this flag  Work started by Markus I believe where does this stand?  Bob ",IMPLEMENTATION
  TODO ToDoItem stuff should be made an opaque extension,IMPLEMENTATION
  TODO for UML 2 x this is isStatic,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  TODO Why do I need to do this?  ,IMPLEMENTATION
  TODO Why do I need to do this?  ,IMPLEMENTATION
  TODO This needs to be modified for UML 2 x,IMPLEMENTATION
  For backward compatibility everything is above and right  TODO Do in polar domain?,IMPLEMENTATION
  TODO It would be better here to continue the loop and try to  build the rest of the compartment Hence try catch should be  internal to the loop ,IMPLEMENTATION
  TODO Why are these different colors?  tfm,IMPLEMENTATION
  TODO how to handle changes in shadowsize      from the project properties?  ,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
"  TODO Add ""unnamed"" or ""new"" or something? Localized, of course ",IMPLEMENTATION
  TODO Should we require a GraphModel in the constructor since  our implementations of setNamespace are going to try and set  the namespace on the graphmodel as well?,IMPLEMENTATION
  Perhaps something like the following would work instead        Rectangle drawingArea           Globals curEditor  getJComponent  getVisibleRect ;,IMPLEMENTATION
  TODO This must happen on the AWT thread,IMPLEMENTATION
  TODO We need a better algorithm ,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO is it possible to use more than one variable?,IMPLEMENTATION
  TODO Use this event mechanism to update  the checkmark on the Presentation Tab ,IMPLEMENTATION
"  TODO If this turns out to be a performance bottleneck, we can   probably optimize the common case by caching our iterator and current  position, assuming that the next request will be for a greater index",IMPLEMENTATION
 assert Arrays asList properties contains    event getPropertyName     event getPropertyName ;  TODO Do we really always need to do this or only if  notationProvider is null?,IMPLEMENTATION
"  let's test which situation we have 3 Possibilities   1 The nodes are already on the diagram, we can use    canAddEdge for this   2 One of the nodes is already on the diagram The other    has to be added   3 Both of the nodes are not yet on the diagram   For the time being we will only implement situation 1   TODO implement situation 2 and 3 ",IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO A more strongly typed data structure could be used here ,IMPLEMENTATION
"     Perform re routing if src dest nodes have changed        p This method needs to be 'armed' by a previous mouseDragged     to avoid the situation where the user just clicks on the node    then clicks on some unrelated Fig, without moving the edge         p TODO improve the fig finding algorithm to find the top most fig    in the layer will be useful for nested states in a statechart       @see java awt event MouseListener#mouseReleased java awt event MouseEvent    ",IMPLEMENTATION
"   A window that shows the progress bar and a cancel button As a convenience to  callers which may be executing on a thread other than the Swing event thread,  all methods use SwingUtilities invokeLater  or  SwingUtilities invokeAndWait  to make sure that Swing calls happen on the  appropriate thread  p  TODO React on the close button as if the Cancel button was pressed  ",IMPLEMENTATION
     write TODO Check if sections are not used within the file and    put them as comments at the end of the file    Hint use a second Map to compare with the used keys       @param filename the file name    @param indent the current indentation    @param outputLostSections true if lost sections are to be written    ,IMPLEMENTATION
  TODO UML2  what do we do here?,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
  TODO implement this  show some documentation?,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
"  TODO These have been used for most instances of new FigFoo X0, Y0,    but additional work is required to extract the constant from  calculations, etc ",IMPLEMENTATION
  TODO work here !,IMPLEMENTATION
  TODO What does the output directory have to do with the class path?  Project p  ProjectManager getManager  getCurrentProject ;  entries add p getProjectSettings  getGenerationOutputDir  ;,IMPLEMENTATION
  TODO This next line prevent loading a UseCase      with a stereotype to grow Why?  ,IMPLEMENTATION
  TODO I18N required,IMPLEMENTATION
"     Utility function to localize the given string with help text,    and show it in the status bar of the ArgoUML window    This function is used in favour of the inline call    to enable later improvements; e g it would be possible to    show a help balloon TODO Work this out    One matter to possibly improve show multiple lines       @param s the given string to be localized and shown    ",IMPLEMENTATION
"  _compileCheckBox  new JCheckBox ;  nameButton _compileCheckBox, ""checkbox compile generated source"" ;  TODO Implement the compile feature For now, disable the checkbox   _compileCheckBox setEnabled false ;  southPanel add _compileCheckBox, BorderLayout SOUTH ;",IMPLEMENTATION
  TODO i18n,IMPLEMENTATION
     Save the source language in the model     p    TODO Support multiple languages now that we have UML 1 4 tagged values       @param node    @param language    ,IMPLEMENTATION
"       TODO This transformation is Java specific We need a more      language notation scheme for specifying qualified names      Possible algorithm  replace all punctuation with our      internal separator, replace multiple separators with a single      instance for languages like C++  What about I18N?  tfm      ",IMPLEMENTATION
  TODO Need to add FileChooser ,IMPLEMENTATION
"  TODO this needs to be improved  even for nongui calling, the config panel needs to be initialized ",IMPLEMENTATION
  TODO implement additional operations in 4 5 3 5,IMPLEMENTATION
     Return the fully qualified name of a model element in Java dot    separated format     p    TODO We really need a language independent format here Perhaps the list    of names that form the hierarchy?  tfm    ,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO Need UML 2 x equivalent,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
     The list with objects that should be shown in the combobox    TODO Using a list here forces a linear search when we're trying to add    a new element to the model which can be very slow for large models    ,IMPLEMENTATION
     Generates a new unique ID and returns it as a String The contents    of the String is supposed to be unique with respect to all Strings    generated by other instances of this class    TODO We should consider using java util UUID for this instead       @return	A String with unique content    ,IMPLEMENTATION
  TODO I18n,IMPLEMENTATION
  TODO Add Up Down buttons to control the ordering of items,IMPLEMENTATION
  TODO support other name kinds,IMPLEMENTATION
  TODO Add all top level packages,IMPLEMENTATION
"     If the property that this comboboxmodel depicts is changed in the UML    model, this method will make sure that the changes will be    done in the combobox model equally  p    TODO This function is not yet completely written!       @inheritDoc    @see java beans PropertyChangeListener#propertyChange java beans PropertyChangeEvent    ",IMPLEMENTATION
  TODO support other kinds of tail,IMPLEMENTATION
  TODO is this the right range here?,IMPLEMENTATION
  how to handle empty target lists?  probably the wizstep should only show an empty pane in that case,IMPLEMENTATION
   This class provides a text field that can be used to display  the text of all Comments associated with an annotated ModelElement   TODO This could use more work  Currently it returns all  Comment name or Comment body attributes concatenated together  into a single read only document   @since 1 Nov 2005  @author Tom Morris tfmorris@gmail com  ,IMPLEMENTATION
  TODO We should assert this never happens before removing  panels should control their own listeners,IMPLEMENTATION
  TODO Implement this!  ,IMPLEMENTATION
  TODO This is updating model on a per character basis as  well as unregistering reregistering event listeners every  character  very wasteful  tfm,IMPLEMENTATION
  TODO The project should be bound to the action when it is created?,IMPLEMENTATION
  TODO It would be better to defer this initialization until the panel  actually needs to be displayed Perhaps optimistically always return  true and figure out later if we've got something to display  tfm   20070110,IMPLEMENTATION
"   This panel contains radio buttons that represent the Changeability  of an asssociation end   @author jaap branderhorst@xs4all nl  @since Jan 4, 2003   TODO For UML 2 x this needs to be changed to be just ReadOnly frozen  or not changeable   ",IMPLEMENTATION
 TODO what to do with the return value?,IMPLEMENTATION
  TODO property name will need to be updated for UML 2 x  Unfortunately we can specify two property names here,IMPLEMENTATION
  TODO do we want to fire targetRemoved here or is it enough to just  stop updating the targets?,IMPLEMENTATION
  TODO Expression and InstanceValue how   If anyone have an example ,IMPLEMENTATION
  not implemented yet,IMPLEMENTATION
"   A mock ModelImplementation p   The Facade, the ModelEventPump, the Factories and Helpers are all  created as mock objects using EasyMock For each of them, there  should also be a possibility to access their @link MockControl  object  TODO Create the rest of the getters for the control objects   @author Linus Tolke  ",IMPLEMENTATION
  TODO what shall we do with the exception?,IMPLEMENTATION
"  TODO with new reference resolving scheme, the model sub system will  cache the systemId of the profile, open it and resolve the profile   on its own Thus, the java util List will be found and the return   value will be present again   assertNotNull returnParamType ;",IMPLEMENTATION
 TODO I suspect this isn't needed call isn't needed but don't remove  till out of alpha beta stage,IMPLEMENTATION
     The UML 1 4 model elements to test        TODO This needs to be updated with a version for UML 2 x    ,IMPLEMENTATION
  TODO Do we need this? Is this the same as emptyFig getHeight ?,IMPLEMENTATION
  TODO Use reflection against the test case to ensure that it  does not import non ArgoUML classes,IMPLEMENTATION
 TODO What can we do with other kind of actions?,IMPLEMENTATION
  TODO Maybe a return message already exists Check first and  and if the first found has no activator then set this call  message as the activator and skip the code below ,IMPLEMENTATION
  TODO Need UML 2 x equivalent,IMPLEMENTATION
  TODO Before adding a new region make the last region  its minimum size smallest size that will still  contain all enclosed ,IMPLEMENTATION
  TODO why do we need to remove then add the Fig?,IMPLEMENTATION
"        TODO minimum height should not be calculated every time, but only       when an FigMessage has been added or removed       Currently doing that doesn't work because of an unknown problem       How to test create only two CRs and a create message between them       Then move the create message to the bottom!      Until that is fixed the workaround is to call updateMinimumHeight       every time the minimum size is needed      ",IMPLEMENTATION
  TODO Expression and InstanceValue how   If anyone have an example ,IMPLEMENTATION
  TODO Is it removed from UML2 ?,IMPLEMENTATION
  TODO Implement,IMPLEMENTATION
"     Finds the operation to which a CallEvent refers, based on the given    transition This function determines the context of the statemachine    that contains the given transition If the context is a Classifier, then    all operations of this classifier are candidates If the context is a    BehavioralFeature, then all operations of the owner Classifier are    candidates The first operation of which the name matches is the result    For Activity diagrams If the context is a Package, then    all Operations of all Classifiers in the package are candidates    TODO This function works for the most normal cases,    but needs some testing for rare cases, e g internal transitions,     TODO The Parameters of the candidates are ignored Maybe this    method should return a set of matching operations       @author MVW    @param trans Object of type Transition    @param opname the name of the operation sought    @return Object the operation with the given name, or null    ",IMPLEMENTATION
"     Get the innermost containing Model of a ModelElement     p    If no containing Model can be found, the outermost containing    ModelElement is returned which could be the original element itself if    it has no owner     p    This method is intended to return the innermost    containing Model, but there are circumstances where one may    really expect the outermost containing Model or root package to    be returned e g where    it's being used to test if two elements are from disjoint namespace    hierarchies  Hence, there are two separate methods    with different semantics The method @link #getRoot Object     returns the outermost containing object     p    TODO Note also that some code uses    org argouml kernel Project#getRoot  to navigate down from the top    instead of up from the bottom We need to use a consistent algorithm for    this  tfm 20070724       @param handle           to the model element    @return model for the model element    ",IMPLEMENTATION
  TODO Need UML 2 x equivalent,IMPLEMENTATION
"  there's more to be handled, which still need to be implemented ",IMPLEMENTATION
     Builds an actor in the same namespace as the given actor If    the object is not and actor nothing is built p        TODO This shouldn't just silently fail if it is passed a bad    argument  This contract will change  tfm 20070607       @param model The namespace    @param actor the given actor    @return Actor the newly built actor    ,IMPLEMENTATION
  List Transition result  new ArrayList Transition  ;  TODO not complete  how to retrieve the transitions?,IMPLEMENTATION
  TODO First implementation will be to call buildPopop  and extract all the contained actions The toolbar will  be built to the same structure   The toolbar will be displayed to the left of the JList  under the label ,IMPLEMENTATION
  TODO implement remaining supported types,IMPLEMENTATION
  TODO implement remaining supported types,IMPLEMENTATION
  TODO Need UML 2 x equivalent,IMPLEMENTATION
  TODO gone in UML 2 1,IMPLEMENTATION
  TODO unfinished implementation,IMPLEMENTATION
   Eclipse UML2 implementation of XmiWriter    TODO We need facilities for writing and reading stable IDs to from either  xmi id or xmi uuid    @author Tom Morris  ,IMPLEMENTATION
  TODO All build create methods need Undo support  tfm,IMPLEMENTATION
  TODO Bob says  how can we auto generate this list?,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO correctly implement next function          in the model subsystem for          issue 1942  ,IMPLEMENTATION
  TODO Need UML 2 x equivalent,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO correctly implement next function          in the model subsystem for          issue 1942  ,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO This is updating model on a per character basis as  well as unregistering reregistering event listeners every  character  very wasteful  tfm,IMPLEMENTATION
"  A language must be unique  So, select the current empty language   TODO ? Alert",IMPLEMENTATION
  not needed,IMPLEMENTATION
"     If the property that this comboboxmodel depicts is changed in the UML    model, this method will make sure that the changes will be    done in the combobox model equally  p    TODO This function is not yet completely written!       @inheritDoc    @see java beans PropertyChangeListener#propertyChange java beans PropertyChangeEvent    ",IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
"  TODO review the tool tips ?  stringField setToolTipText Translator localize ""label body tooltip"" ;",IMPLEMENTATION
  not needed,IMPLEMENTATION
     The list with objects that should be shown in the combobox    TODO Using a list here forces a linear search when we're trying to add    a new element to the model which can be very slow for large models    ,IMPLEMENTATION
  not needed,IMPLEMENTATION
"   The panel that shows a value specification for an other UML element    TODO Do we need to implements ChangeListener If yes  ok If no  Can't be  use without Optional class, or the Optional don't need to !   ",IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO else  alert,IMPLEMENTATION
  TODO Enhance the isValidNamespace function so      that this never happens      ,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO After removing a region reset the overall  size of the node ,IMPLEMENTATION
  TODO gone in UML 2 1,IMPLEMENTATION
  TODO not implemented,IMPLEMENTATION
  TODO not implemented,IMPLEMENTATION
  TODO not complete,IMPLEMENTATION
  how to handle empty target lists?  probably the wizstep should only show an empty pane in that case,IMPLEMENTATION
  TODO Not all namespaces are useful here  any WFRs?  ,IMPLEMENTATION
  TODO This work should be deferred until actually   needed for display,IMPLEMENTATION
  TODO Should be anything allowed by current diagram,IMPLEMENTATION
  TODO We expect an association end here    check more carefully?  tfm,IMPLEMENTATION
     TODO this is not done yet Eventually this will also    feed the rational log    ,IMPLEMENTATION
  TODO Is it removed from UML2 ?,IMPLEMENTATION
  TODO not implemented,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO This will need to change when we support multiple  user models ,IMPLEMENTATION
  TODO 2nd next  for single hasNext ,IMPLEMENTATION
  TODO Fully implement this!,IMPLEMENTATION
  TODO Implement following WFR for GeneralizableElements   4 The parent must be included in the Namespace of the    GeneralizableElement      self generalization forAll g |       self namespace allContents includes g parent       return ModelManagementHelperMDRImpl getContents ns contains          gen getParent  ;,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  not needed,IMPLEMENTATION
"  TODO Before allowing this, we should really check that  TemplateParameter defaultElement is defined",IMPLEMENTATION
  TODO Not implemented,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
       Identifier for addonly changeability      TODO Note this should not be in UML2 version      ,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO correctly implement next function          in the model subsystem for          issue 1942  ,IMPLEMENTATION
"  Make a read only copy of the listeners list so that reentrant calls  back to add removeListener won't mess us up   TODO Potential performance issue, but we need the correctness  tfm",IMPLEMENTATION
  TODO Review all callers to make sure that they localize the title  In process by Harold Braun 20070912,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO Once the default constructor is deleted we only set dirty flag,IMPLEMENTATION
  TODO All super constructors should take a GraphModel,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO Get Project or other necessary context from source??  e getSource ;,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO Make this more efficient for large I Os,IMPLEMENTATION
  TODO I18N,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO i18n,IMPLEMENTATION
  TODO Bob says  how can we auto generate this list?,IMPLEMENTATION
  TODO We failed to resolve URL  signal error,IMPLEMENTATION
  TODO Count report unresolved references,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO Implement support for multiple TaggedValues,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO treat Message,IMPLEMENTATION
  TODO implement,IMPLEMENTATION
  TODO Why would this be null?,IMPLEMENTATION
  TODO treat Message,IMPLEMENTATION
  TODO Rework to use UML 1 4 TagDefinitions  tfm,IMPLEMENTATION
  TODO Needs undo support,IMPLEMENTATION
  TODO This is a linear search of a list that contain many  thousands of items one for every Fig in the entire project ,IMPLEMENTATION
  TODO Check if this is ok this is literally adapted from NSUML ,IMPLEMENTATION
  FIX set the application name for Mac OS X  ,IMPLEMENTATION
 TODO What can we do with other kind of actions?,IMPLEMENTATION
"  TODO Use the SVGWriter2D implementation        cmd  new SaveSVGAction2 Translator localize ""action save svg"" ;",IMPLEMENTATION
"  Apparently, this method is never called ",IMPLEMENTATION
     TODO Not implemented yet The idea is that some    problems identified by Critic's can be fixed with certain design    manipulations or transforms that can be applied automatically    to resolve the problem This method replies true iff the given    problem can be fixed The fixIt  method actually does the fix       @see org argouml cognitive Poster#canFixIt org argouml cognitive ToDoItem    Also    @see Critic#fixIt    ,IMPLEMENTATION
"     TODO Not implemented yet If the given ToDoItem can    be fixed automatically, and the user wants that to happen, then do    it Obviously, this depends on the specific Critic and    problem By default this method does nothing       @param item the todo item    @param arg the design material ?    ",IMPLEMENTATION
     List of ChecklistStatus es       Indexed on the model element itself    TODO Should use weak references so that this is forgotten about    when the object is removed    ,IMPLEMENTATION
  TODO Maybe the exception strings should be internationalized,IMPLEMENTATION
  TODO understand qualifiers,IMPLEMENTATION
  TODO Convert this to some sensible logging,IMPLEMENTATION
  TODO is it possible to use more than one variable?,IMPLEMENTATION
     Reply the ToDoItem that the designer should see iff predicate     returns true By default it just fills in the fields of the    ToDoItem from accessor methods of this Critic Critic Subclasses    may override this method or the accessor methods to add computed    fields to the ToDoItem       TODO Critic's may want to add new fields to a    ToDoItem to make stillValid more efficent       @see Critic#critique       @param dm the offender    @param dsgr the designer    @return ToDoItem    ,IMPLEMENTATION
  TODO implementation?,IMPLEMENTATION
  TODO Removed from UML 2 x,IMPLEMENTATION
       Category getRoot  getLoggerRepository  setThreshold Level OFF ;  TODO Find the proper implementation in java util logging API	  ,IMPLEMENTATION
  TODO Review all callers to make sure that they localize the title,IMPLEMENTATION
"     Removes a listener, eventtype pair from the listener list       TODO replace the listener implementation with a EventListenerList    for better performance       @param event the event to which the listener will not listen any more    @param listener the listener to be removed    ",IMPLEMENTATION
     Check the offenders p       This is called from the constructors where the offenders are given       TODO Why do we only care about checking the first 2 offenders above?    @param offs The offenders    ,IMPLEMENTATION
  not needed,IMPLEMENTATION
  TODO This is a linear search of a list that contain many  thousands of items one for every Fig in the entire project ,IMPLEMENTATION
  TODO check this,IMPLEMENTATION
  TODO No test coverage for this or createPropPanel?  tfm,TEST
"  TODO do tests for infix operators 8 4 7 ,  even though it is not yet supported",TEST
"  The UML 2 1 1 metamodel is a MOF 2 0 CMOF model, so  we want nodes with  tag ""ownedMember"", attribute xmi type ""cmof Class""  TODO This code is untested  tfm",TEST
"     For modules, it would be usefule to be able to remove their factories p        TODO The effect of this method is not yet tested!       @param factory the factory to remove    ",TEST
  TODO should not be using assert here but I don't want to change to  IllegalStateException at lead up to a release as I don't know how  much testing is done with assert on ,TEST
     Test the constructor used for loading a profile from a Jar file    TODO Test FigNode!       @throws Exception if something goes wrong    ,TEST
"  ModelElement is abstract, so no create tests  TODO Add any other relevant tests    ",TEST
  Do we need to add tests for the following?    AggregationKind  ChangeableKind  MessageDirectionKind  OrderingKind  ParameterDirectionKind  PseudostateKind  ScopeKind  VisibilityKind  ,TEST
  TODO Test if the generated string is correct ,TEST
"     Tests if the list with namespaces defined in getValidNamespaceClasses    contains only valid namespaces       TODO This test does not test anything, really!    ",TEST
     cleanAllExtentsBut model ;  TODO why is this causing a crash?!?,TEST
"   TODO This needs more work  Test e g creation when an operation is selected   @author jaap branderhorst@xs4all nl  @since Jan 9, 2003  ",TEST
  TODO This requires that the tests be run with assertions  enabled which isn't guaranteed in all environments ,TEST
"  For some reason ListSet equals  allocates a lot of memory, well  some memory at least Lets try to avoid that when not needed by  invoking this test only when the two previous tests are not decisive ",TEST
   Tests for the DiagramSettings   TODO Test chaining of settings   @author Tom Morris based on TestProjectSettings by Michiel  ,TEST
  TODO should not be using assert here but I don't want to change to  IllegalStateException at lead up to a release as I don't know how  much testing is done with assert on ,TEST
  TODO Fix this so that new sequence diagrams are tested,TEST
     TODO Rewrite this test using reflection against Uml class        This code has been commented out since September 2003    ,TEST
"   Test creation of Collaboration diagrams  TODO Test creating on an operation   @author jaap branderhorst@xs4all nl  @since Jan 9, 2003  ",TEST
     Test a UML 1 3 XMI 1 1 file to make sure that it gets converted properly     p    TODO Our UML 1 3 converter currently only handles XMI 1 0     @throws FileNotFoundException indicates a test configuration problem    @throws UmlException if it fails to open the file    ,TEST
"     Tests if the list with namespaces defined in getValidNamespaceClasses    contains only valid namespaces       TODO This test does not test anything, really!    ",TEST
  The application should have checked for availability at  startup   For tests we would expect unix developers to be correctly  configured   Replace with an assert when we are JRE1 4+,TEST
"  TODO this should fail, but it doesn't ",TEST
"  TODO write test for enumerations, although they are not yet supported",TEST
"   Test read compressed models, mainly to verify the correct reading of  AndroMDA profiles  TODO Move this test into argouml base when we will want to read also zip  file   @author lmaitre  ",TEST
"  TODO do tests for navigation to association classes 8 5 5 ,  even though it is not yet supported",TEST
  We tested this above  do we need to test again?,TEST
"  TODO do tests for type conformance 8 4 4 ,  even though it is not yet supported",TEST
  Testing Does not fire Conflict with CrNameConflict  ,TEST
  TODO should it remove the leftovers from other tests?      cleanAllExtents ;      assert getFacade  getRootElements  size   0;,TEST
  Entered in 0 29 3  Prove that the test below is not needed,TEST
  TODO This requires that the tests be run with assertions  enabled which isn't guaranteed in all environments ,TEST
  TODO Why does it fail for changing        the name of an associationend?        Why should it pass?  ,TEST
"     For modules, it would be useful to be able to remove their factories     p        TODO The effect of this method is not yet tested!       @param factory         the factory to remove    ",TEST
  TODO Test this  ,TEST
  TODO Test if the generated string is correct ,TEST
"  TODO do tests for ranges in collection definition 8 5 12 ,  even though it is not yet supported",TEST
"  TODO do tests for collections of collections 8 5 13 ,  even though it is not yet supported   question should this happen with all collections or only   the constructed ones?",TEST
     Test creation of metatypes       TODO we could add tests here to make sure that    we can NOT create abstract types    ,TEST
"  Listening only to ""remove"" events does not work       TODO Check if this works now with new event pump  tfm      ",TEST
  TODO We need some way of driving this from panel xml rather  than hard coded test,TEST
     TODO Prove that this works     The TestUMLAssociationRoleBaseComboBoxModel does not cut it        @see org argouml uml ui UMLComboBoxModel#addOtherModelEventListeners java lang Object    ,TEST
  TODO Presumably this is only relevant if  obj is actually a Model or Profile   An added test of isAModel obj or isAProfile obj would clarify  what is going on here ,TEST
"   All events going to the Explorer must pass through here first! p   Most will come from the uml model via the EventAdapter interface p   TODO In some cases test cases this object is created without setting  the treeModel I Linus will add tests for this now It would be better  if this is created only when the Explorer is created  p   TODO The ExplorerTreeNode also listens to some events  from Diagrams , so it does not follow the rule above   @since 0 15 2, Created on 16 September 2003, 23 13  @author alexb  ",TEST
  does not work r getFolderName   does not work r getMessage  getUID ,DEFECT
  TODO key can't be null,DEFECT
"  bug #997560 fdietz  CC should be in Cc , instead of To  toList addAll Arrays asList rfcHeader getCc  ;",DEFECT
  TODO check if we have to manually set the folder uid in   message controller to make this work,DEFECT
"  bug #997560 fdietz  CC should be in Cc , instead of To ",DEFECT
  FIXME this is not correct,DEFECT
  FIXME correct year calculation,DEFECT
  FIXME check if the id is a correct file name! ,DEFECT
"  TODO newUID, generate correctly formatted date string",DEFECT
  TODO fix doctype,DEFECT
  TODO key can't be null,DEFECT
  TODO fix parser exception,DEFECT
   FIXME    @author fdietz No locking of folders currently implemented!   @author frd  ,DEFECT
  TODO @author fdietz  should be removed if we only use  Streams!,DESIGN
  FIXME @author karlpeder  Is 3 2 the proper version of html to refer to?,DESIGN
  this is a hack for the multiline column,DESIGN
 TODO @author tstich  do something,DESIGN
  TODO @author fdietz  i18n,DESIGN
  FIXME remove method  toolbarPane add c ;,DESIGN
 TODO @author fdietz  i18n,DESIGN
 TODO @author fdietz  i18n,DESIGN
  TODO @author hubms copied from frederiks search builder,DESIGN
  real stupid recreation of whole list model    replace with id based listmodel update,DESIGN
  TODO @author karlpeder  Extend handling of special entities as in restoreSpecialCharacters,DESIGN
"     Transforms email addresses into HTML just as    substituteEmailAddress String , but tries to ignore email addresses,    which are already links, if the ignore links flag is set     br    This extended functionality is necessary when parsing a text which    is already partly html     br    FIXME Can this be done smarter, i e directly with reg expr without manual parsing??       @param     s                input text    @param    ignoreLinks        if true link tags are ignored This gives a                                wrong result if some e mail adresses are                                already links but uses reg expr directly,                                and is therefore faster    @return    text with email adresses transformed to links    ",DESIGN
 TODO Return content encoding according to the mime part in the mail,DESIGN
 TODO Return content type according to the mime part in the mail,DESIGN
  hack to support dockable view title update  TODO replace with listener pattern,DESIGN
 TODO stop polling thread?!  ,DESIGN
  TODO @author hubms bad if there is a icon it is tagged or  not,DESIGN
  TODO categoryEnumeration,DESIGN
  hack if start and end time is at 00 00 00 000 it is  an all day event,DESIGN
  register interest on store changes  TODO the dependency should be the other way around,DESIGN
"  TODO fix layout to look good, even if there's not enough information provided",DESIGN
  TODO @author fdietz  i18n,DESIGN
  FIXME ugly cast to ContactModel,DESIGN
  @TODO dont use deprecated method,DESIGN
